orif_cost,tha_cost,inmb
9300.0,31250.0,17819924.942333158
10600.0,31250.0,19119924.942333158
11900.0,31250.0,20419924.942333154
13200.0,31250.0,21719924.942333207
14500.0,31250.0,23019924.942333177
15800.0,31250.0,24319924.942333125
17100.0,31250.0,25619924.942333102
18400.0,31250.0,26919924.942333095
19700.0,31250.0,28219924.94233311
21000.0,31250.0,29519924.94233311
22300.0,31250.0,30819924.94233311
23600.0,31250.0,32119924.94233311
24900.0,31250.0,33419924.942333102
26200.0,31250.0,34719924.9423331
27500.0,31250.0,36019924.9423331
28800.0,31250.0,37319924.9423331
30100.0,31250.0,38619924.9423331
31400.0,31250.0,39919924.94233311
32700.0,31250.0,41219924.94233311
34000.0,31250.0,42519924.94233311
35300.0,31250.0,43819924.94233311
36600.0,31250.0,45119924.94233311
37900.0,31250.0,46419924.94233311
39200.0,31250.0,47719924.94233311
40500.0,31250.0,49019924.94233311
41800.0,31250.0,50319924.94233311
43100.0,31250.0,51619924.94233311
44400.0,31250.0,52919924.94233311
45700.0,31250.0,54219924.94233317
47000.0,31250.0,55519924.94233314
48300.0,31250.0,56819924.942333184
49600.0,31250.0,58119924.94233317
50900.0,31250.0,59419924.942333125
52200.0,31250.0,60719924.942333154
53500.0,31250.0,62019924.94233311
54800.0,31250.0,63319924.94233314
56100.0,31250.0,64619924.942333125
57400.0,31250.0,65919924.942333125
58700.0,31250.0,67219924.9423331
60000.0,31250.0,68519924.9423331
8000.0,32800.0,14969924.942333158
9300.0,32800.0,16269924.942333158
10600.0,32800.0,17569924.942333158
11900.0,32800.0,18869924.942333154
13200.0,32800.0,20169924.942333207
14500.0,32800.0,21469924.942333177
15800.0,32800.0,22769924.942333125
17100.0,32800.0,24069924.942333102
18400.0,32800.0,25369924.942333095
19700.0,32800.0,26669924.94233311
21000.0,32800.0,27969924.94233311
22300.0,32800.0,29269924.94233311
23600.0,32800.0,30569924.94233311
24900.0,32800.0,31869924.942333102
26200.0,32800.0,33169924.942333102
27500.0,32800.0,34469924.9423331
28800.0,32800.0,35769924.9423331
30100.0,32800.0,37069924.9423331
31400.0,32800.0,38369924.94233311
32700.0,32800.0,39669924.94233311
34000.0,32800.0,40969924.94233311
35300.0,32800.0,42269924.94233311
36600.0,32800.0,43569924.94233311
37900.0,32800.0,44869924.94233311
39200.0,32800.0,46169924.94233311
40500.0,32800.0,47469924.94233311
41800.0,32800.0,48769924.94233311
43100.0,32800.0,50069924.94233311
44400.0,32800.0,51369924.94233311
45700.0,32800.0,52669924.94233317
47000.0,32800.0,53969924.94233314
48300.0,32800.0,55269924.942333184
49600.0,32800.0,56569924.94233317
50900.0,32800.0,57869924.942333125
52200.0,32800.0,59169924.942333154
53500.0,32800.0,60469924.94233311
54800.0,32800.0,61769924.94233314
56100.0,32800.0,63069924.942333125
57400.0,32800.0,64369924.942333125
58700.0,32800.0,65669924.94233311
60000.0,32800.0,66969924.94233311
8000.0,34350.0,13419924.942333158
9300.0,34350.0,14719924.942333158
10600.0,34350.0,16019924.942333158
11900.0,34350.0,17319924.942333154
13200.0,34350.0,18619924.942333207
14500.0,34350.0,19919924.942333177
15800.0,34350.0,21219924.942333125
17100.0,34350.0,22519924.942333102
18400.0,34350.0,23819924.942333095
19700.0,34350.0,25119924.94233311
21000.0,34350.0,26419924.94233311
22300.0,34350.0,27719924.94233311
23600.0,34350.0,29019924.94233311
